,,precision,recall,f1-score,support
0,smiling_encouraging,0.0,0.0,0.0,140
1,smiling_endearment,0.0,0.0,0.0,140
2,smiling_flirting,0.0,0.0,0.0,140
3,smiling_sad_nostalgia,0.12101910828025478,0.95,0.21468926553672318,140
4,smiling_sardonic,0.0,0.0,0.0,140
5,smiling_triumphant,1.0,0.15,0.2608695652173913,140
6,smiling_uncertain,0.2727272727272727,0.15,0.19354838709677416,140
7,smiling_winning,0.0,0.0,0.0,140
8,smiling_yeah_right,0.0,0.0,0.0,140
9,macro avg,0.15486070900083637,0.1388888888888889,0.07434524642787652,1260
10,weighted avg,0.1548607090008364,0.1388888888888889,0.07434524642787652,1260
