,,precision,recall,f1-score,support
0,smiling_encouraging,0.08333333333333333,0.1,0.0909090909090909,140
1,smiling_endearment,0.25,0.35,0.2916666666666667,140
2,smiling_flirting,0.0,0.0,0.0,140
3,smiling_sad_nostalgia,0.9090909090909091,0.5,0.6451612903225806,140
4,smiling_sardonic,0.0,0.0,0.0,140
5,smiling_triumphant,0.0,0.0,0.0,140
6,smiling_uncertain,0.6666666666666666,0.1,0.1739130434782609,140
7,smiling_winning,0.16666666666666666,0.2,0.1818181818181818,140
8,smiling_yeah_right,0.12222222222222222,0.55,0.19999999999999998,140
9,macro avg,0.24421997755331087,0.2,0.17594091924386454,1260
10,weighted avg,0.24421997755331087,0.2,0.17594091924386454,1260
