,,precision,recall,f1-score,support
0,smiling_encouraging,0.046153846153846156,0.15,0.07058823529411765,140
1,smiling_endearment,0.3333333333333333,0.2,0.25,140
2,smiling_flirting,0.46875,0.75,0.5769230769230769,140
3,smiling_sad_nostalgia,0.0,0.0,0.0,140
4,smiling_sardonic,0.0,0.0,0.0,140
5,smiling_triumphant,0.0,0.0,0.0,140
6,smiling_uncertain,0.3,0.45,0.36000000000000004,140
7,smiling_winning,0.1875,0.15,0.16666666666666663,140
8,smiling_yeah_right,0.16,0.2,0.17777777777777778,140
9,macro avg,0.16619301994301994,0.21111111111111114,0.17799508407351544,1260
10,weighted avg,0.16619301994301997,0.2111111111111111,0.17799508407351544,1260
